sample_id,age_group,skin_type,face_shape,mood_label,eye_openness,blink_rate_per_min,skin_hydration_score,skin_shine_score,redness_score,under_eye_darkness_score,pigmentation_score,lip_brightness_score,skin_texture_score,facial_symmetry_score,primary_beauty_concern,energy_score,skin_appearance_score,mood_confidence,skin_confidence,wellness_note_type
FS_0028,18-25,dry,round,neutral,0.516,18.8,36.0,40.5,26.5,36.8,50.2,100.0,63.0,75.4,none,55.2,58.0,0.92,0.863,hydration_tip
FS_0029,46-60,oily,square,tired,0.502,18.3,58.3,79.8,39.5,68.9,40.9,92.4,66.5,79.1,none,51.3,59.3,0.853,0.728,sleep_tip
FS_0030,46-60,dry,square,calm,0.649,10.0,34.2,15.0,50.3,42.1,37.9,90.7,53.1,70.2,dullness,80.5,57.9,0.815,0.788,hydration_tip
FS_0031,36-45,dry,square,calm,0.491,14.9,34.6,12.9,42.8,27.3,40.6,82.7,51.9,82.1,redness_flush,75.1,59.2,0.863,0.773,hydration_tip
FS_0032,18-25,oily,round,calm,0.774,5.4,52.5,72.3,2.1,40.8,7.9,73.7,100.0,63.5,none,87.4,71.9,0.967,0.784,general_skincare
FS_0033,18-25,oily,heart,happy,1.0,13.9,55.4,77.9,36.8,40.3,35.3,68.0,79.4,76.3,redness_flush,97.8,67.5,0.761,0.743,general_skincare
FS_0034,18-25,oily,round,sad,0.547,20.1,78.5,85.9,54.6,41.6,28.8,81.3,37.4,91.6,dullness,45.0,59.1,0.856,0.936,general_skincare
FS_0035,46-60,oily,square,neutral,0.503,21.0,62.1,71.0,39.5,74.3,40.7,73.5,63.6,70.4,none,66.1,59.8,0.909,0.727,sleep_tip
FS_0036,26-35,oily,round,neutral,0.648,13.6,52.7,80.5,41.4,23.2,38.0,89.0,75.8,94.9,none,65.8,68.1,0.806,0.759,general_skincare
FS_0037,36-45,dry,oblong,neutral,0.714,13.1,71.3,29.6,31.6,49.6,32.2,73.1,40.9,82.2,dullness,67.2,68.6,0.746,0.919,hydration_tip
FS_0038,26-35,dry,oval,happy,0.787,19.8,21.7,46.4,27.6,23.2,9.8,46.8,63.5,78.7,dark_circles,88.1,51.7,0.867,0.709,hydration_tip
FS_0039,36-45,dry,square,calm,0.654,18.2,33.9,20.1,31.7,28.2,72.1,47.2,53.5,88.2,none,69.4,52.1,0.772,0.933,hydration_tip
FS_0040,46-60,dry,square,sad,0.71,16.6,22.2,36.4,31.5,77.1,15.0,100.0,74.3,77.8,none,57.4,52.3,0.813,0.77,hydration_tip
FS_0041,46-60,dry,square,happy,0.838,13.3,40.9,28.4,19.4,18.3,39.5,68.2,59.0,68.5,none,88.8,61.0,0.961,0.946,hydration_tip
FS_0042,36-45,dry,oval,calm,0.768,12.5,50.3,33.6,45.5,43.3,28.4,80.5,66.1,73.4,dark_circles,90.3,58.3,0.829,0.777,hydration_tip
FS_0043,36-45,normal,oblong,happy,0.814,16.1,52.0,46.5,64.2,0.0,38.0,84.8,51.0,73.8,dullness,81.1,61.4,0.763,0.771,sun_or_stress_tip
FS_0044,26-35,normal,oval,stressed,0.609,28.8,66.2,39.8,85.2,51.7,11.5,57.3,57.3,85.6,dullness,60.4,54.4,0.825,0.8,sun_or_stress_tip
FS_0045,18-25,oily,oval,sleepy,0.402,20.4,50.7,59.1,21.2,50.4,10.4,84.8,56.7,98.0,dullness,41.2,64.6,0.787,0.84,general_skincare
FS_0046,36-45,dry,round,happy,1.0,15.7,55.8,19.6,29.5,58.3,15.6,95.4,61.9,72.9,pigmentation,87.9,65.6,0.746,0.782,hydration_tip
FS_0047,26-35,normal,oblong,tired,0.501,16.3,72.6,55.3,48.4,85.3,37.5,76.4,69.0,63.1,none,55.3,59.9,0.903,0.75,sleep_tip
FS_0048,18-25,normal,oval,neutral,0.815,16.7,62.4,58.6,8.9,46.0,9.4,87.9,66.3,79.2,none,81.1,71.1,0.904,0.835,general_skincare
FS_0049,46-60,normal,oval,tired,0.511,20.9,75.7,45.9,39.6,59.1,13.9,77.9,58.7,76.2,none,55.6,65.6,0.748,0.792,general_skincare
FS_0050,46-60,normal,oblong,sleepy,0.189,25.2,65.1,37.4,25.3,84.8,42.1,70.7,73.4,86.4,dark_lips,27.6,61.4,0.882,0.858,sleep_tip
FS_0051,26-35,oily,oblong,tired,0.536,22.8,43.0,82.9,77.5,75.5,0.0,72.5,44.4,98.0,sun_damage,45.6,48.7,0.776,0.84,sun_or_stress_tip
FS_0052,26-35,normal,round,neutral,0.411,13.9,65.8,26.9,29.0,35.0,26.9,73.2,56.5,70.3,none,61.3,66.1,0.74,0.757,general_skincare
FS_0053,26-35,normal,oblong,neutral,0.789,17.1,90.4,57.8,46.6,40.1,27.4,94.2,64.7,82.9,none,70.2,71.9,0.894,0.877,general_skincare
FS_0054,36-45,normal,heart,calm,0.696,12.1,59.7,53.9,31.3,34.4,34.6,70.0,81.4,64.6,sun_damage,75.5,70.1,0.722,0.913,general_skincare
FS_0055,18-25,oily,square,happy,0.922,15.2,43.8,71.2,41.6,40.8,32.8,61.3,80.5,86.8,dryness,88.2,67.4,0.753,0.897,general_skincare
FS_0056,18-25,oily,oblong,neutral,0.816,15.4,56.6,61.3,31.3,56.7,16.9,82.3,76.5,83.2,none,77.3,66.4,0.88,0.803,general_skincare
FS_0057,18-25,normal,oblong,tired,0.451,22.2,53.0,65.3,38.8,85.9,30.1,76.4,78.0,82.0,pigmentation,38.8,59.6,0.948,0.952,sleep_tip
FS_0058,36-45,normal,square,stressed,0.529,30.3,67.5,30.8,59.9,41.1,37.6,60.9,63.8,61.0,none,41.3,58.0,0.894,0.924,sun_or_stress_tip
FS_0059,46-60,normal,round,sleepy,0.306,24.5,70.0,37.1,34.8,65.9,28.9,53.9,70.9,71.0,dark_lips,26.2,59.2,0.892,0.908,sleep_tip
FS_0060,46-60,oily,round,sad,0.605,21.1,75.7,94.3,33.6,45.2,40.2,77.3,77.3,89.8,dryness,55.4,79.0,0.916,0.825,general_skincare
FS_0061,46-60,oily,oval,tired,0.558,26.5,54.4,100.0,16.6,84.9,63.1,67.1,67.4,87.4,none,36.5,63.6,0.843,0.721,sleep_tip
FS_0062,46-60,oily,heart,tired,0.538,19.5,71.6,72.7,60.8,80.1,38.4,92.1,83.3,98.0,dullness,48.9,64.9,0.938,0.934,sun_or_stress_tip
FS_0063,18-25,dry,oblong,neutral,0.573,12.2,33.9,5.0,22.7,48.0,17.9,89.4,75.2,89.5,dark_circles,56.8,63.7,0.829,0.725,hydration_tip
FS_0064,26-35,dry,round,tired,0.341,22.1,46.5,27.0,52.1,48.1,41.6,60.1,30.2,75.5,none,40.2,44.7,0.887,0.738,hydration_tip
FS_0065,18-25,oily,oblong,sad,0.479,19.8,68.2,90.7,46.2,46.6,30.4,88.2,65.8,81.4,none,48.6,66.5,0.954,0.71,general_skincare
FS_0066,46-60,dry,oblong,neutral,0.689,10.0,53.0,32.2,45.0,0.0,69.3,68.0,67.5,68.6,none,77.5,64.4,0.961,0.766,hydration_tip
FS_0067,18-25,normal,round,neutral,0.676,24.0,79.6,51.7,23.3,39.1,28.0,76.3,54.9,84.0,dullness,69.8,68.1,0.807,0.741,general_skincare
FS_0068,18-25,oily,oval,neutral,0.649,15.2,61.6,66.6,43.5,35.8,19.5,80.5,65.5,86.5,none,62.8,69.9,0.812,0.803,general_skincare
FS_0069,36-45,dry,heart,stressed,0.738,31.9,38.4,27.6,40.2,57.0,44.0,79.8,96.0,78.3,sun_damage,48.4,58.4,0.839,0.803,hydration_tip
FS_0070,36-45,normal,heart,sleepy,0.471,24.0,69.3,47.2,23.7,67.5,0.0,68.6,56.2,68.1,pigmentation,29.9,63.2,0.899,0.804,sleep_tip
FS_0071,26-35,dry,round,happy,0.846,12.6,43.3,12.0,21.0,35.1,1.1,76.2,51.7,83.0,pigmentation,88.1,61.0,0.748,0.701,hydration_tip
FS_0072,36-45,normal,oval,neutral,0.596,14.7,51.2,69.0,11.3,26.9,14.2,82.5,65.9,89.2,dullness,69.4,67.6,0.826,0.74,general_skincare
FS_0073,46-60,normal,oval,tired,0.323,21.5,55.2,39.1,48.4,49.0,49.0,51.1,79.3,64.1,redness_flush,30.4,53.4,0.893,0.958,general_skincare
FS_0074,36-45,dry,oblong,tired,0.5,21.9,51.7,12.3,15.5,93.3,3.4,52.9,37.7,96.7,pigmentation,43.0,52.3,0.788,0.854,hydration_tip
FS_0075,18-25,dry,oval,calm,0.887,10.8,62.1,33.0,14.4,27.1,33.4,71.1,59.5,69.7,none,85.7,68.6,0.925,0.7,hydration_tip
FS_0076,26-35,normal,round,sleepy,0.249,21.9,82.6,49.7,69.8,78.3,27.9,65.7,71.9,76.6,pigmentation,28.5,58.5,0.815,0.79,sun_or_stress_tip
FS_0077,26-35,dry,square,neutral,0.703,16.7,46.4,44.8,0.1,57.5,0.0,70.4,82.7,84.1,redness_flush,78.8,68.0,0.918,0.779,hydration_tip
FS_0078,26-35,oily,square,happy,0.728,14.1,59.0,82.6,31.8,41.4,0.0,66.9,55.7,80.7,dark_lips,82.8,65.4,0.82,0.738,general_skincare
FS_0079,46-60,oily,round,happy,0.841,16.2,36.4,68.2,0.0,34.7,42.2,58.9,77.6,66.5,dullness,86.2,68.2,0.841,0.896,hydration_tip
FS_0080,46-60,normal,oblong,neutral,0.612,15.6,63.6,39.5,34.5,28.0,38.2,59.8,48.5,86.2,dullness,55.1,66.8,0.942,0.817,general_skincare
FS_0081,46-60,oily,heart,tired,0.545,23.7,51.1,44.9,31.8,74.3,15.8,72.6,69.8,83.2,none,35.6,65.1,0.787,0.739,sleep_tip
FS_0082,18-25,normal,round,calm,0.871,16.9,80.1,51.9,32.4,26.1,32.0,72.3,74.6,76.5,none,86.6,76.6,0.817,0.817,general_skincare
FS_0083,26-35,normal,round,tired,0.476,21.9,77.5,62.7,38.2,69.5,25.2,62.4,59.2,57.6,sun_damage,41.7,64.5,0.745,0.872,sleep_tip
FS_0084,46-60,oily,heart,tired,0.484,18.0,60.1,78.9,27.1,53.9,52.4,69.3,59.1,74.7,dryness,48.7,59.0,0.759,0.711,general_skincare
FS_0085,26-35,normal,oblong,calm,0.615,8.1,92.7,34.8,21.7,23.6,29.6,81.4,82.0,72.8,dark_lips,87.6,80.4,0.965,0.895,general_skincare
FS_0086,18-25,oily,oblong,happy,0.915,13.2,61.5,55.4,21.9,35.0,16.0,73.8,69.8,82.8,none,88.0,64.2,0.868,0.832,general_skincare
FS_0087,36-45,oily,oblong,happy,0.9,16.7,43.7,73.2,49.9,34.0,33.1,74.8,58.0,72.4,dark_lips,82.3,60.1,0.903,0.86,general_skincare
FS_0088,36-45,normal,heart,tired,0.677,30.2,70.8,50.8,52.4,80.8,54.9,81.0,68.5,89.0,dryness,42.1,59.1,0.901,0.93,sleep_tip
FS_0089,46-60,oily,heart,sad,0.53,13.9,69.8,72.9,54.9,49.3,34.7,65.6,66.6,79.0,dryness,64.7,67.8,0.926,0.83,general_skincare
FS_0090,36-45,oily,oval,tired,0.564,24.3,59.1,93.7,22.9,64.9,14.2,43.9,68.8,76.9,dullness,46.3,62.1,0.879,0.829,sleep_tip
FS_0091,36-45,normal,oblong,neutral,0.782,20.1,72.3,48.6,37.7,24.3,63.3,93.4,76.0,79.8,pigmentation,66.4,71.0,0.84,0.813,general_skincare
FS_0092,18-25,normal,oval,sad,0.592,18.5,62.4,43.8,38.9,45.2,20.2,69.7,82.4,71.8,sun_damage,48.9,60.9,0.914,0.717,general_skincare
FS_0093,46-60,oily,oval,happy,0.489,19.1,66.8,72.6,31.0,38.3,14.6,62.6,81.1,66.7,none,65.4,76.1,0.957,0.952,general_skincare
FS_0094,46-60,oily,oval,sleepy,0.281,22.4,63.6,99.0,50.2,35.5,41.6,90.0,51.3,83.0,dark_lips,28.9,63.1,0.887,0.82,general_skincare
FS_0095,46-60,dry,heart,happy,0.948,16.2,34.2,27.3,20.6,39.6,27.4,62.9,68.3,71.1,dryness,92.6,57.5,0.938,0.762,hydration_tip
FS_0096,46-60,dry,heart,sleepy,0.599,30.1,38.8,19.6,23.6,47.7,30.2,86.9,21.1,68.7,none,31.1,49.9,0.851,0.775,hydration_tip
FS_0097,36-45,normal,square,calm,0.866,10.2,34.9,60.8,6.6,31.4,14.5,88.2,100.0,79.6,none,96.9,69.2,0.798,0.908,hydration_tip
FS_0098,36-45,normal,oblong,neutral,0.743,17.0,71.2,47.5,47.2,60.9,7.2,66.4,70.5,75.6,dryness,73.9,64.4,0.963,0.788,sleep_tip
FS_0099,26-35,normal,oval,stressed,0.489,28.0,83.8,46.6,26.2,42.3,44.5,69.7,56.0,73.5,redness_flush,40.3,69.2,0.905,0.75,general_skincare
FS_0100,26-35,dry,square,sad,0.7,16.5,46.8,27.7,14.4,53.2,7.3,86.6,45.5,79.8,none,58.0,61.2,0.894,0.833,hydration_tip
FS_0101,46-60,oily,square,happy,0.72,21.1,62.1,78.6,40.3,20.5,50.9,74.8,48.1,65.1,none,73.4,62.2,0.964,0.729,general_skincare
FS_0102,36-45,oily,heart,tired,0.527,18.6,68.1,81.9,40.6,70.5,55.6,83.2,100.0,82.8,dark_circles,48.0,69.5,0.744,0.763,sleep_tip
FS_0103,46-60,dry,oblong,calm,0.547,17.7,54.6,17.6,31.4,42.4,51.5,73.0,62.3,72.2,none,71.8,65.8,0.783,0.757,hydration_tip
FS_0104,46-60,normal,oval,stressed,0.476,23.6,56.2,42.4,79.5,47.7,59.0,85.5,64.9,73.5,pigmentation,46.0,51.4,0.847,0.865,sun_or_stress_tip
FS_0105,18-25,normal,oval,happy,0.793,14.4,65.7,51.7,0.0,5.5,59.4,62.9,34.8,65.0,dryness,92.2,75.7,0.722,0.757,general_skincare
FS_0106,46-60,normal,square,calm,0.454,10.0,62.1,31.9,16.3,41.7,40.0,88.6,72.7,86.9,none,74.5,72.4,0.753,0.771,general_skincare
FS_0107,18-25,dry,heart,sleepy,0.421,25.7,52.1,14.0,50.8,56.3,37.2,77.5,63.5,67.2,pigmentation,32.7,57.5,0.857,0.934,hydration_tip
FS_0108,26-35,oily,round,tired,0.5,22.5,44.9,92.9,38.5,68.3,35.6,73.3,83.3,80.6,redness_flush,45.3,57.3,0.723,0.81,sleep_tip
FS_0109,46-60,dry,heart,happy,0.876,15.3,35.2,35.4,50.0,27.7,35.5,60.9,47.9,87.8,none,94.9,53.7,0.777,0.8,hydration_tip
FS_0110,18-25,normal,heart,neutral,0.462,14.6,46.0,62.1,53.8,50.5,10.2,90.7,66.5,67.1,none,62.0,59.6,0.805,0.834,general_skincare
FS_0111,26-35,dry,heart,tired,0.462,18.5,55.3,13.8,15.6,88.4,53.4,63.5,51.4,67.7,none,50.4,54.4,0.745,0.754,hydration_tip
FS_0112,46-60,dry,oblong,calm,0.524,13.8,40.9,30.7,28.6,42.5,14.9,49.2,59.4,59.6,none,83.2,61.1,0.928,0.815,hydration_tip
FS_0113,46-60,normal,oval,sleepy,0.384,18.4,54.6,57.0,37.6,92.2,42.4,53.4,62.7,83.1,pigmentation,37.5,56.3,0.918,0.82,sleep_tip
FS_0114,46-60,dry,heart,happy,1.0,10.7,45.0,33.6,46.3,31.6,42.6,64.5,55.8,74.9,none,97.6,53.4,0.841,0.925,hydration_tip
FS_0115,46-60,oily,square,calm,0.669,19.8,32.4,100.0,40.8,31.6,37.2,74.0,77.3,83.8,dullness,79.4,59.5,0.798,0.767,hydration_tip
FS_0116,18-25,dry,square,sad,0.815,17.2,53.4,41.2,21.9,36.0,42.2,62.6,39.5,71.8,sun_damage,68.1,60.2,0.904,0.917,hydration_tip
FS_0117,18-25,oily,round,happy,0.802,16.5,50.6,79.8,53.1,18.9,39.4,54.2,99.5,85.1,dullness,82.0,69.2,0.919,0.884,general_skincare
FS_0118,18-25,oily,oblong,tired,0.36,18.3,68.5,68.4,37.7,79.2,20.8,78.9,48.4,76.8,dullness,44.6,59.1,0.824,0.897,sleep_tip
FS_0119,46-60,normal,round,stressed,0.872,19.5,60.2,50.3,41.4,64.5,50.7,77.8,73.3,90.3,dryness,67.0,62.1,0.82,0.741,sleep_tip
FS_0120,46-60,oily,oblong,sad,0.505,18.1,69.5,63.6,15.1,66.0,33.9,59.1,80.2,73.6,none,52.9,68.6,0.826,0.798,sleep_tip
FS_0121,26-35,normal,square,happy,0.789,14.1,57.9,52.9,38.3,24.2,16.3,58.4,75.4,70.8,sun_damage,86.6,60.8,0.881,0.713,general_skincare
FS_0122,46-60,dry,heart,tired,0.471,24.9,45.5,18.0,35.7,73.2,5.5,88.7,40.4,90.8,dark_lips,45.8,57.2,0.889,0.858,hydration_tip
FS_0123,46-60,dry,oblong,neutral,0.725,14.9,37.9,51.6,17.9,40.5,39.7,65.6,59.2,83.3,dryness,73.9,57.4,0.815,0.788,hydration_tip
FS_0124,36-45,normal,oval,neutral,0.759,16.0,79.0,36.6,51.2,29.2,0.0,65.4,63.8,75.0,dark_lips,68.7,68.8,0.75,0.769,general_skincare
FS_0125,46-60,oily,oblong,tired,0.378,23.6,69.5,99.0,68.2,80.6,53.4,71.8,77.3,95.5,pigmentation,31.9,63.1,0.82,0.779,sun_or_stress_tip
FS_0126,18-25,normal,round,neutral,0.606,25.4,70.1,42.7,32.3,38.4,27.8,47.7,88.1,90.1,dryness,54.4,73.7,0.769,0.737,general_skincare
FS_0127,36-45,normal,oval,calm,0.848,15.2,73.3,35.6,43.6,13.6,27.4,70.9,85.6,88.0,sun_damage,76.6,76.4,0.959,0.838,general_skincare
FS_0128,26-35,oily,heart,neutral,0.693,18.4,42.3,78.3,64.3,13.1,24.1,85.7,74.2,84.2,none,67.9,63.5,0.885,0.728,sun_or_stress_tip
FS_0129,18-25,normal,oval,neutral,0.488,18.6,92.3,31.6,32.8,27.4,31.4,70.3,61.0,82.4,dryness,55.7,78.6,0.835,0.903,general_skincare
FS_0130,36-45,dry,oval,sleepy,0.342,23.0,27.0,35.3,48.2,64.8,17.9,73.7,45.9,77.4,dryness,32.0,46.5,0.758,0.957,hydration_tip
FS_0131,46-60,normal,oblong,happy,0.702,20.6,85.0,40.8,2.0,46.1,27.7,81.1,42.4,86.0,dullness,74.4,71.7,0.964,0.707,general_skincare
FS_0132,26-35,normal,heart,calm,0.61,17.5,88.2,41.7,0.0,55.0,38.9,63.4,66.9,68.0,dark_lips,72.3,78.0,0.926,0.931,general_skincare
FS_0133,46-60,oily,oval,calm,0.688,15.3,41.4,92.6,35.2,22.2,24.4,68.8,82.6,84.7,dark_circles,79.1,69.6,0.855,0.773,general_skincare
FS_0134,36-45,normal,heart,tired,0.68,29.5,60.2,49.6,60.5,54.5,16.3,61.8,69.6,76.0,dark_lips,49.8,55.8,0.905,0.921,sun_or_stress_tip
FS_0135,36-45,dry,oval,neutral,0.612,19.6,34.6,23.5,9.3,30.6,28.8,92.0,47.1,68.7,dark_circles,64.5,54.6,0.958,0.711,hydration_tip
FS_0136,26-35,dry,oval,calm,0.856,17.8,42.4,16.5,0.0,30.5,41.2,83.9,63.4,77.3,redness_flush,85.5,68.2,0.728,0.713,hydration_tip
FS_0137,26-35,oily,square,tired,0.607,24.3,65.6,77.1,4.1,66.8,31.8,62.5,60.0,91.0,none,39.4,65.3,0.845,0.884,sleep_tip
FS_0138,46-60,normal,square,happy,0.998,16.1,65.1,51.2,33.7,52.2,23.1,66.1,54.4,68.9,dark_lips,98.1,62.9,0.933,0.955,general_skincare
FS_0139,26-35,oily,heart,calm,0.593,13.5,66.1,74.4,40.1,25.0,3.5,78.4,60.6,75.9,none,74.7,68.2,0.966,0.904,general_skincare
FS_0140,18-25,dry,heart,calm,0.922,13.3,38.5,21.7,17.4,1.3,5.1,71.1,73.2,72.5,redness_flush,79.8,64.9,0.739,0.857,hydration_tip
FS_0141,46-60,dry,oval,calm,0.854,10.5,43.1,32.8,23.7,31.0,41.0,58.6,73.0,89.2,none,93.4,60.6,0.888,0.852,hydration_tip
FS_0142,46-60,oily,oval,happy,1.0,12.6,40.7,93.2,32.1,22.0,47.3,67.7,79.8,78.6,none,100.0,69.1,0.845,0.893,general_skincare
FS_0143,46-60,normal,oblong,happy,0.822,17.0,68.6,64.2,34.0,5.6,56.3,84.5,78.2,67.8,pigmentation,85.4,74.8,0.739,0.937,general_skincare
FS_0144,26-35,dry,square,sleepy,0.574,26.5,46.9,33.4,14.0,75.3,46.3,79.5,54.2,93.4,none,44.0,58.2,0.855,0.77,hydration_tip
FS_0145,36-45,normal,oblong,neutral,0.8,16.2,80.7,53.2,78.9,37.2,43.7,63.3,70.0,53.7,pigmentation,67.4,63.8,0.837,0.707,sun_or_stress_tip
FS_0146,36-45,oily,round,sleepy,0.59,19.4,49.6,70.1,43.1,55.4,40.0,72.3,60.3,81.0,none,42.8,55.0,0.854,0.793,general_skincare
FS_0147,36-45,normal,oval,calm,0.603,10.2,76.5,48.1,41.0,0.0,17.0,70.2,75.8,85.6,pigmentation,83.0,79.4,0.723,0.777,general_skincare
FS_0148,46-60,dry,round,sleepy,0.353,14.6,61.1,22.4,36.5,89.9,27.9,83.5,23.1,83.0,dark_circles,47.7,51.7,0.809,0.727,hydration_tip
FS_0149,46-60,oily,round,calm,0.632,13.2,48.2,65.2,43.0,15.4,41.9,70.5,91.0,73.5,dark_lips,74.7,73.5,0.763,0.83,general_skincare
FS_0150,26-35,normal,oval,sad,0.458,18.3,56.9,51.1,14.6,41.5,10.1,79.1,82.0,75.9,none,36.3,71.3,0.873,0.923,general_skincare
FS_0151,18-25,dry,oval,sad,0.448,20.9,56.9,29.6,33.4,53.4,0.0,67.4,48.7,90.9,none,42.8,59.4,0.921,0.934,hydration_tip
FS_0152,18-25,oily,square,neutral,0.782,9.1,50.7,78.5,48.0,30.1,0.0,78.7,61.1,67.3,dark_circles,79.3,58.5,0.812,0.712,general_skincare
FS_0153,46-60,normal,round,happy,0.858,12.0,65.6,47.9,39.0,40.7,27.0,71.1,76.4,91.1,pigmentation,95.8,71.1,0.91,0.704,general_skincare
FS_0154,36-45,dry,oblong,sleepy,0.327,21.3,45.6,33.6,38.0,77.0,50.5,85.0,54.7,86.5,dullness,36.7,50.9,0.898,0.8,hydration_tip
FS_0155,46-60,oily,oblong,calm,0.696,10.1,58.2,86.8,11.4,52.3,45.7,84.4,60.8,85.7,redness_flush,84.8,66.9,0.801,0.77,general_skincare
FS_0156,36-45,dry,oval,calm,0.865,16.7,40.1,43.7,36.1,41.1,31.8,62.9,28.2,75.7,dark_circles,88.4,51.0,0.944,0.931,hydration_tip
FS_0157,46-60,normal,round,tired,0.4,22.0,76.9,55.1,76.7,49.2,21.9,53.8,65.9,87.9,none,40.8,59.9,0.897,0.78,sun_or_stress_tip
FS_0158,26-35,dry,round,happy,0.765,18.3,22.2,10.3,32.9,20.4,38.3,86.4,55.3,68.4,dryness,80.9,58.1,0.805,0.837,hydration_tip
